"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
167,"中古マンション等","","13105","東京都","文京区","向丘","本駒込","1",69000000,"","３ＬＤＫ","70",,"","","","平成11年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第１四半期","未改装",""
168,"中古マンション等","","13105","東京都","文京区","目白台","護国寺","9",33000000,"","１ＬＤＫ","35",,"","","","平成8年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2021年第１四半期","改装済",""
169,"中古マンション等","","13105","東京都","文京区","目白台","雑司が谷(東京メトロ)","9",20000000,"","","20",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2021年第１四半期","未改装",""
170,"宅地(土地と建物)","住宅地","13105","東京都","文京区","弥生","根津","7",540000000,"","","280",,"ほぼ長方形","14.9","620","平成12年","ＲＣ","共同住宅","住宅","北東","区道",5.5,"第２種中高層住居専用地域",60,300,"2021年第１四半期","",""
171,"中古マンション等","","13105","東京都","文京区","湯島","御茶ノ水","7",74000000,"","４ＬＤＫ","95",,"","","","平成14年","ＲＣ","住宅","その他","","",,"近隣商業地域",80,400,"2021年第１四半期","未改装",""
172,"中古マンション等","","13105","東京都","文京区","湯島","御茶ノ水","6",35000000,"","１ＬＤＫ","30",,"","","","昭和58年","ＳＲＣ","","その他","","",,"商業地域",80,600,"2021年第１四半期","改装済",""
173,"中古マンション等","","13105","東京都","文京区","湯島","御茶ノ水","11",9500000,"","１Ｒ","15",,"","","","昭和58年","ＳＲＣ","住宅","","","",,"商業地域",80,600,"2021年第１四半期","改装済",""
174,"中古マンション等","","13105","東京都","文京区","湯島","末広町(東京)","2",25000000,"","１Ｋ","20",,"","","","平成16年","ＲＣ","","住宅","","",,"商業地域",80,600,"2021年第１四半期","未改装",""
175,"中古マンション等","","13105","東京都","文京区","湯島","末広町(東京)","4",22000000,"","１Ｋ","20",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第１四半期","未改装",""
176,"中古マンション等","","13105","東京都","文京区","湯島","湯島","2",14000000,"","１Ｋ","25",,"","","","昭和48年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第１四半期","未改装",""
177,"中古マンション等","","13105","東京都","文京区","湯島","湯島","2",16000000,"","２ＤＫ","25",,"","","","昭和48年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第１四半期","未改装",""
178,"中古マンション等","","13105","東京都","文京区","湯島","湯島","6",77000000,"","２ＤＫ","50",,"","","","平成26年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2021年第１四半期","未改装",""
179,"中古マンション等","","13105","東京都","文京区","湯島","湯島","5",19000000,"","１Ｋ","20",,"","","","平成14年","ＳＲＣ","住宅","その他","","",,"商業地域",80,600,"2021年第１四半期","未改装",""
180,"中古マンション等","","13105","東京都","文京区","湯島","湯島","2",24000000,"","１Ｋ","20",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第１四半期","未改装",""
181,"中古マンション等","","13105","東京都","文京区","湯島","湯島","3",38000000,"","１Ｋ","30",,"","","","平成22年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第１四半期","未改装",""
182,"中古マンション等","","13105","東京都","文京区","湯島","湯島","4",83000000,"","２ＬＤＫ","70",,"","","","平成13年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第１四半期","改装済",""
183,"中古マンション等","","13105","東京都","文京区","湯島","湯島","2",23000000,"","２ＤＫ","40",,"","","","昭和48年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第１四半期","未改装",""
184,"中古マンション等","","13105","東京都","文京区","湯島","湯島","5",50000000,"","１ＬＤＫ","35",,"","","","平成30年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第１四半期","未改装",""
185,"中古マンション等","","13105","東京都","文京区","湯島","湯島","4",73000000,"","２ＬＤＫ","50",,"","","","平成30年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第１四半期","未改装",""
186,"中古マンション等","","13105","東京都","文京区","湯島","湯島","6",28000000,"","１Ｋ","20",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2021年第１四半期","未改装",""
187,"中古マンション等","","13105","東京都","文京区","湯島","湯島","4",72000000,"","２ＬＤＫ","55",,"","","","平成30年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第１四半期","未改装",""
